game,move_no,color,player,move,elapsed_ms,self_winrate,opp_self_winrate,auto_resign
1,1,B,b28_v2,Q16,343.528,58.712,42.111,False
1,2,W,b18_v10,D16,1169.915,57.088,58.551,False
1,3,B,b28_v2,D4,322.089,59.043,42.685,False
1,4,W,b18_v10,Q4,1198.516,57.705,59.025,False
1,5,B,b28_v2,R3,318.841,59.39,43.245,False
1,6,W,b18_v10,Q3,914.288,56.618,59.402,False
1,7,B,b28_v2,R4,319.25,59.592,41.994,False
1,8,W,b18_v10,R6,261.258,56.158,60.218,False
1,9,B,b28_v2,R5,320.603,60.228,43.186,False
1,10,W,b18_v10,Q5,393.752,56.44,60.572,False
1,11,B,b28_v2,S6,321.172,59.181,43.314,False
1,12,W,b18_v10,R17,262.524,56.311,60.032,False
1,13,B,b28_v2,Q17,320.626,60.453,43.575,False
1,14,W,b18_v10,R16,1059.387,56.702,60.461,False
1,15,B,b28_v2,Q15,330.955,58.818,43.279,False
1,16,W,b18_v10,S14,661.576,56.224,59.286,False
1,17,B,b28_v2,C17,322.403,59.439,42.244,False
1,18,W,b18_v10,D17,798.431,56.369,59.45,False
1,19,B,b28_v2,C16,322.223,58.576,43.912,False
1,20,W,b18_v10,C14,688.396,56.482,58.644,False
1,21,B,b28_v2,C15,320.855,59.061,43.184,False
1,22,W,b18_v10,D15,525.534,56.442,59.921,False
1,23,B,b28_v2,B14,360.518,59.36,45.236,False
1,24,W,b18_v10,C3,396.165,56.365,59.464,False
1,25,B,b28_v2,C4,329.111,60.124,44.248,False
1,26,W,b18_v10,D3,802.279,56.344,60.507,False
1,27,B,b28_v2,E4,319.929,59.056,43.215,False
1,28,W,b18_v10,E3,920.722,56.727,60.011,False
1,29,B,b28_v2,F4,333.441,59.456,43.766,False
1,30,W,b18_v10,G2,1202.279,55.82,59.808,False
1,31,B,b28_v2,C13,327.372,60.3,46.087,False
1,32,W,b18_v10,D14,807.031,55.812,60.32,False
1,33,B,b28_v2,C18,323.491,58.958,44.225,False
1,34,W,b18_v10,E12,271.352,55.685,60.198,False
1,35,B,b28_v2,H17,322.444,61.662,42.853,False
1,36,W,b18_v10,H4,1064.609,55.998,61.79,False
1,37,B,b28_v2,H15,320.78,61.245,42.685,False
1,38,W,b18_v10,D8,1052.279,56.017,60.726,False
1,39,B,b28_v2,B3,321.95,62.351,41.846,False
1,40,W,b18_v10,B2,924.562,56.124,62.73,False
1,41,B,b28_v2,B5,321.254,62.749,43.354,False
1,42,W,b18_v10,A3,397.996,56.315,63.824,False
1,43,B,b28_v2,E10,321.207,61.986,41.811,False
1,44,W,b18_v10,F8,1193.211,58.849,63.377,False
1,45,B,b28_v2,C10,324.877,60.852,42.484,False
1,46,W,b18_v10,H13,1059.29,57.63,60.878,False
1,47,B,b28_v2,H5,322.136,61.371,42.112,False
1,48,W,b18_v10,J5,795.442,56.97,62.41,False
1,49,B,b28_v2,H6,323.628,59.69,43.473,False
1,50,W,b18_v10,J6,926.243,55.439,61.173,False
1,51,B,b28_v2,H7,322.874,59.494,42.424,False
1,52,W,b18_v10,F10,867.455,54.877,60.995,False
1,53,B,b28_v2,E9,321.09,56.032,44.634,False
1,54,W,b18_v10,F9,1211.748,54.236,57.915,False
1,55,B,b28_v2,E8,327.167,56.582,45.205,False
1,56,W,b18_v10,E7,399.236,53.93,57.39,False
1,57,B,b28_v2,F7,327.264,57.574,44.172,False
1,58,W,b18_v10,J7,809.432,55.134,59.065,False
1,59,B,b28_v2,H9,351.747,55.805,45.163,False
1,60,W,b18_v10,J8,665.939,54.879,58.432,False
1,61,B,b28_v2,H8,323.869,57.761,39.369,False
1,62,W,b18_v10,H11,665.294,54.544,58.051,False
1,63,B,b28_v2,K14,326.591,52.038,41.43,False
1,64,W,b18_v10,F6,1220.144,56.205,54.777,False
1,65,B,b28_v2,G7,325.015,51.046,44.948,False
1,66,W,b18_v10,E6,661.034,54.04,51.119,False
1,67,B,b28_v2,C9,323.41,47.534,41.917,False
1,68,W,b18_v10,G5,1197.954,61.635,44.943,False
1,69,B,b28_v2,G4,325.487,57.304,38.775,False
1,70,W,b18_v10,J9,797.211,57.147,56.756,False
1,71,B,b28_v2,H10,327.771,57.026,37.453,False
1,72,W,b18_v10,J10,528.357,50.435,55.72,False
1,73,B,b28_v2,F5,326.28,64.771,40.709,False
1,74,W,b18_v10,G6,800.789,23.205,65.17,False
1,75,B,b28_v2,F11,324.908,49.243,50.243,False
